id,name,base_experience,weight,height,order,front_default,BMI
105,Marowak,149,450.0,10.0,164,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,4500.0
106,Hitmonlee,159,498.0,15.0,168,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,7470.0
107,Hitmonchan,159,502.0,14.0,169,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,7028.0
108,Lickitung,77,655.0,12.0,171,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,7860.0
109,Koffing,68,10.0,6.0,173,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,60.0
110,Weezing,172,95.0,12.0,174,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,1140.0
111,Rhyhorn,69,1150.0,10.0,176,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,11500.0
112,Rhydon,170,1200.0,19.0,177,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,22800.0
113,Chansey,395,346.0,11.0,180,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,3806.0
114,Tangela,87,350.0,10.0,182,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,3500.0
115,Kangaskhan,172,800.0,22.0,184,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,17600.0
116,Horsea,59,80.0,4.0,186,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,320.0
117,Seadra,154,250.0,12.0,187,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,3000.0
118,Goldeen,64,150.0,6.0,189,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,900.0
119,Seaking,158,390.0,13.0,190,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,5070.0
120,Staryu,68,345.0,8.0,191,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,2760.0
121,Starmie,182,800.0,11.0,192,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,8800.0
122,Mr-mime,161,545.0,13.0,194,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,7085.0
123,Scyther,100,560.0,15.0,196,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,8400.0
124,Jynx,159,406.0,14.0,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,5684.0
125,Electabuzz,172,300.0,11.0,202,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,3300.0
126,Magmar,173,445.0,13.0,205,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,5785.0
127,Pinsir,175,550.0,15.0,207,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,8250.0
128,Tauros,172,884.0,14.0,209,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,12376.0
129,Magikarp,40,100.0,9.0,210,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,900.0
130,Gyarados,189,2350.0,65.0,211,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,152750.0
131,Lapras,187,2200.0,25.0,213,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,55000.0
132,Ditto,101,40.0,3.0,214,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,120.0
133,Eevee,65,65.0,3.0,215,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,195.0
134,Vaporeon,184,290.0,10.0,217,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,2900.0
135,Jolteon,184,245.0,8.0,218,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,1960.0
136,Flareon,184,250.0,9.0,219,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,2250.0
137,Porygon,79,365.0,8.0,225,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,2920.0
138,Omanyte,71,75.0,4.0,228,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,300.0
139,Omastar,173,350.0,10.0,229,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,3500.0
140,Kabuto,71,115.0,5.0,230,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,575.0
141,Kabutops,173,405.0,13.0,231,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,5265.0
142,Aerodactyl,180,590.0,18.0,232,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,10620.0
143,Snorlax,189,4600.0,21.0,235,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,96600.0
144,Articuno,290,554.0,17.0,236,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,9418.0
145,Zapdos,290,526.0,16.0,238,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,8416.0
146,Moltres,290,600.0,20.0,240,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,12000.0
147,Dratini,60,33.0,18.0,242,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,594.0
148,Dragonair,147,165.0,40.0,243,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,6600.0
149,Dragonite,300,2100.0,22.0,244,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,46200.0
150,Mewtwo,340,1220.0,20.0,245,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,24400.0
151,Mew,300,40.0,4.0,248,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,160.0
201,Unown,118,50.0,5.0,297,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,250.0
301,Delcatty,140,326.0,11.0,404,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,3586.0
401,Kricketot,39,22.0,3.0,532,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/401.png,66.0
501,Oshawott,62,59.0,5.0,616,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/501.png,295.0
601,Klinklang,260,810.0,6.0,723,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/601.png,4860.0
